key,count
incidenti,1339
strade,873
furti,859
coronavirus,817
morti,766
viabilità,737
lavoro,694
scuola,676
carabinieri,654
trasporti,607
ambiente,604
meteo,572
droga,567
università,540
montagna,517
notizie curiose,506
sanità,497
incendi,486
animali,462
